SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
263,JHAPA,4110,BISHWA JYOTI SECONDARY BOARDING SCHOOL HA,26,40,25,32,45,41,12,12,0,0,5,1,6,6,50
3753,ARGHAKHANCH,47021,BISHWA MA VI ARJUN PIPALNETA DHAKABANG,27,36,31,26,38,35,95,95,0,1,28,22,51,44,54
2682,CHITWAN,34014,BISHWA PRAKASH HIGHER SECONDARY SCHOOL M,43,51,53,31,50,53,107,107,0,34,51,0,85,22,79
2135,KATHMANDU,29326,BISHWO RASTRIYA MA VI KIRTIPUR,41,46,51,37,43,39,23,23,0,6,12,0,18,5,78
4075,BAGLUNG,52060,BISHWOKARMA MA VI KALIMATI,19,44,19,24,39,43,40,40,0,1,6,0,7,33,18
3120,KASKI,41022,BISHWOSHANTI MA VI DEURALI,33,5,45,30,47,42,26,26,1,4,14,2,21,5,81
2925,PARSA,37026,BITO MAHATO JANATA MA VI JITPUR NAUKATOLA,16,25,32,17,2,3,59,58,0,0,5,2,7,51,12
265,JHAPA,4112,BLOOMING LOTUS ENGLISH SCHOOL BHUTANESE,3.89,43,25,22,44,35,302,301,0,13,70,5,88,212,29
1611,DHADING,26059,BLOOMING LOTUS ENGLISH SCHOOL JEVANPUR DH,56,55,79,49,66,40,10,10,1,7,2,0,10,0,100
1974,KATHMANDU,29152,BLUE BIRD BOARDING HIGH SCHOOL MAHARAJGUN,55,48,65,41,40,40,10,10,0,6,4,0,10,0,100
2569,LALITPUR,32187,BLUE BIRD ENGLISH SCHOOL THAIBA,66,75,84,48,70,53,16,16,6,10,0,0,16,0,100
2008,KATHMANDU,29190,BLUE WREN INT'L BOARDING SCHOOL KALANKISTH,58,59,64,43,51,46,17,17,1,10,5,0,16,1,94
685,SUNSARI,10021,BOARDING MA VI DHARAN,47,54,37,33,50,51,26,26,0,9,15,0,24,2,92
689,SUNSARI,10025,BOARDING MA VI ITAHARI,57,53,68,43,74,51,60,60,2,51,6,0,59,1,98
